,Name,country,latitude,longitude,max temperature,cloudiness,date,humidity,wind speed
0,mataura,NZ,-46.19,168.86,44.53,92,1538236855,97,2.48
1,hithadhoo,MV,-0.6,73.08,81.88,92,1538236856,100,9.19
2,tekeli,KZ,44.86,78.76,50.2,0,1538236857,60,3.71
3,saint-augustin,FR,44.83,-0.61,75.2,0,1538235000,38,8.05
4,bredasdorp,ZA,-34.53,20.04,64.4,0,1538233200,52,16.11
5,poum,MK,41.28,20.71,61.63,0,1538236861,35,2.48
6,cherskiy,RU,68.75,161.3,33.91,76,1538236862,93,6.85
7,barentsburg,,,,,,,,
8,wakkanai,JP,45.41,141.67,62.8,0,1538236864,100,17.81
9,port hawkesbury,CA,45.62,-61.36,53.6,90,1538233200,93,9.17
10,mullaitivu,,,,,,,,
11,san benito,CO,6.13,-73.51,73.42,0,1538236931,80,2.93
12,punta arenas,CL,-53.16,-70.91,41,40,1538233200,65,4.7
13,busselton,AU,-33.64,115.35,57.58,68,1538236871,100,15.79
14,isangel,VU,-19.55,169.27,71.26,100,1538236873,100,16.69
15,vaini,IN,15.34,74.49,73.33,48,1538236874,96,1.03
16,carnarvon,ZA,-30.97,22.13,74.41,0,1538236875,6,8.52
17,ambilobe,MG,-13.19,49.05,78.91,12,1538236877,47,14.34
18,albany,US,42.65,-73.75,62.6,75,1538236260,55,10.29
19,rikitea,PF,-23.12,-134.97,71.53,76,1538236879,100,5.73
20,qaanaaq,GL,77.48,-69.36,21.22,76,1538236596,100,5.73
21,victoria,BN,5.28,115.24,82.4,75,1538235000,88,4.72
22,mudyuga,,,,,,,,
23,charlottesville,US,38.03,-78.48,71.96,1,1538234100,71,10.29
24,vila franca do campo,PT,37.72,-25.43,73.4,40,1538235000,60,17.22
25,gabrovo,BG,42.87,25.32,69.8,44,1538235000,28,3.36
26,upernavik,GL,72.79,-56.15,34.09,88,1538236887,100,23.85
27,bluff,AU,-23.58,149.07,66.13,20,1538236719,68,6.73
28,hilo,US,19.71,-155.08,75.92,1,1538232780,93,3.36
29,vila velha,BR,-3.71,-38.6,87.8,0,1538236800,58,18.34
30,new norfolk,AU,-42.78,147.06,50,75,1538235000,66,10.29
31,balite,PH,13.83,120.92,77.29,12,1538236893,93,6.4
32,riyadh,SA,24.63,46.72,96.8,0,1538233200,5,9.17
33,thompson,CA,55.74,-97.86,32,90,1538233200,99,10.29
34,samalaeulu,,,,,,,,
35,mahebourg,MU,-20.41,57.7,73.4,75,1538233200,78,11.41
36,katobu,ID,-4.94,122.53,79.72,56,1538236898,94,7.4
37,dikson,RU,73.51,80.55,44.89,88,1538236899,76,23.85
38,kamina,CD,-8.74,25,82.33,44,1538236901,74,2.82
39,mabaruma,GY,8.2,-59.78,87.19,44,1538236902,74,7.18
40,padang,ID,-0.92,100.36,79.45,64,1538236903,100,6.4
41,port hedland,AU,-20.31,118.58,73.4,40,1538235000,78,13.87
42,kapaa,US,22.08,-159.32,77,75,1538234580,93,9.17
43,tiksi,RU,71.64,128.87,30.85,88,1538236906,100,3.04
44,tuktoyaktuk,CA,69.44,-133.03,26.6,90,1538233200,92,9.17
45,atuona,PF,-9.8,-139.03,79.18,0,1538236909,100,11.21
